id;korean_name;english_name;position;image;tier;feature
66;세라핀;seraphine;SUPPORT;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/seraphine.png;5;FIGHT
67;세주아니;sejuani;JUNGLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/sejuani.png;2;FIGHT
68;세트;sett;SUPPORT;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/sett.png;3;FIGHT
69;소나;sona;SUPPORT;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/sona.png;5;LANE
70;소라카;soraka;SUPPORT;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/soraka.png;5;LANE
71;쉔;shen;TOP;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/shen.png;1;OPERATION
72;쉬바나;shyvana;TOP;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/shyvana.png;5;OPERATION
73;스웨인;swain;MIDDLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/swain.png;5;FIGHT
74;스카너;skarner;JUNGLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/skarner.png;5;GANKING
75;시비르;sivir;ADC;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/sivir.png;5;LANE
76;신짜오;xinzhao;JUNGLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/xinzhao.png;5;GANKING
77;신드라;syndra;MIDDLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/syndra.png;5;LANE
78;신지드;singed;TOP;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/singed.png;2;OPERATION
79;쓰레쉬;thresh;SUPPORT;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/thresh.png;5;OPERATION
80;아리;ahri;MIDDLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/ahri.png;5;FIGHT
81;아무무;amumu;SUPPORT;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/amumu.png;5;FIGHT
82;아우렐리온솔;aurelionsol;MIDDLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/aurelionsol.png;5;OPERATION
83;아이번;ivern;JUNGLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/ivern.png;5;OPERATION
84;아지르;azir;MIDDLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/azir.png;5;FIGHT
85;아칼리;akali;MIDDLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/akali.png;5;FIGHT
86;아크샨;akshan;TOP;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/akshan.png;3;LANE
87;아트록스;aatrox;TOP;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/aatrox.png;1;FIGHT
88;아펠리오스;aphelios;ADC;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/aphelios.png;5;FIGHT
89;알리스타;alistar;SUPPORT;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/alistar.png;5;FIGHT
90;애니;annie;MIDDLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/annie.png;5;FIGHT
91;애니비아;anivia;MIDDLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/anivia.png;5;OPERATION
92;애쉬;ashe;ADC;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/ashe.png;5;OPERATION
93;야스오;yasuo;MIDDLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/yasuo.png;5;FIGHT
94;에코;ekko;JUNGLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/ekko.png;5;FIGHT
95;엘리스;elise;JUNGLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/elise.png;5;GANKING
96;오공;wukong;JUNGLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/wukong.png;3;FIGHT
97;오른;ornn;TOP;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/ornn.png;2;FIGHT
98;오리아나;orianna;MIDDLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/orianna.png;5;FIGHT
99;올라프;olaf;JUNGLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/olaf.png;2;GANKING
100;요네;yone;MIDDLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/yone.png;3;FIGHT
101;요릭;yorick;TOP;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/yorick.png;3;OPERATION
102;우디르;udyr;JUNGLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/udyr.png;4;GANKING
103;우르곳;urgot;TOP;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/urgot.png;3;FIGHT
104;워윅;warwick;JUNGLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/warwick.png;2;GANKING
105;유미;yuumi;SUPPORT;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/yuumi.png;5;FIGHT
106;이렐리아;irelia;TOP;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/irelia.png;3;LANE
107;이블린;evelynn;JUNGLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/evelynn.png;5;GANKING
108;이즈리얼;ezreal;ADC;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/ezreal.png;5;OPERATION
109;일라오이;illaoi;TOP;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/illaoi.png;3;OPERATION
110;자르반4세;jarvaniv;JUNGLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/jarvaniv.png;5;GANKING
111;자야;xayah;ADC;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/xayah.png;5;FIGHT
112;자이라;zyra;SUPPORT;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/zyra.png;5;LANE
113;자크;zac;JUNGLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/zac.png;4;FIGHT
114;잔나;janna;SUPPORT;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/janna.png;1;LANE
115;잭스;jax;TOP;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/jax.png;3;OPERATION
116;제드;zed;MIDDLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/zed.png;5;OPERATION
117;제라스;xerath;MIDDLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/xerath.png;5;LANE
118;제리;zeri;ADC;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/zeri.png;5;FIGHT
119;제이스;jayce;TOP;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/jayce.png;4;LANE
120;조이;zoe;MIDDLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/zoe.png;5;LANE
121;직스;ziggs;ADC;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/ziggs.png;5;LANE
122;진;jhin;ADC;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/jhin.png;5;FIGHT
123;질리언;zilean;SUPPORT;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/zilean.png;5;FIGHT
124;징크스;jinx;ADC;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/jinx.png;5;FIGHT
125;초가스;chogath;TOP;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/chogath.png;4;FIGHT
126;카르마;karma;SUPPORT;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/karma.png;5;LANE
127;카밀;camille;TOP;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/camille.png;2;OPERATION
128;카사딘;kassadin;MIDDLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/kassadin.png;5;FIGHT
129;카서스;karthus;JUNGLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/karthus.png;5;FIGHT
130;카시오페아;cassiopeia;MIDDLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/cassiopeia.png;4;LANE
131;카이사;kaisa;ADC;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/kaisa.png;5;FIGHT
132;카직스;khazix;JUNGLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/khazix.png;5;OPERATION
133;카타리나;katarina;MIDDLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/katarina.png;5;FIGHT
134;칼리스타;kalista;ADC;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/kalista.png;5;LANE
135;케넨;kennen;TOP;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/kennen.png;4;FIGHT
136;케이틀린;caitlyn;ADC;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/caitlyn.png;5;LANE
137;케인;kayn;JUNGLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/kayn.png;5;FIGHT
138;케일;kayle;TOP;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/kayle.png;3;OPERATION
139;코그모;kogmaw;ADC;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/kogmaw.png;5;FIGHT
140;코르키;corki;MIDDLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/corki.png;5;FIGHT
141;퀸;quinn;TOP;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/quinn.png;3;LANE
142;클레드;kled;TOP;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/kled.png;4;FIGHT
143;키아나;qiyana;JUNGLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/qiyana.png;5;FIGHT
144;킨드레드;kindred;JUNGLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/kindred.png;5;FIGHT
145;타릭;taric;SUPPORT;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/taric.png;5;FIGHT
146;탈론;talon;JUNGLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/talon.png;5;GANKING
147;탈리야;taliyah;MIDDLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/taliyah.png;5;OPERATION
148;탐켄치;tahmkench;SUPPORT;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/tahmkench.png;4;FIGHT
149;트런들;trundle;JUNGLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/trundle.png;3;FIGHT
150;트리스타나;tristana;ADC;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/tristana.png;5;OPERATION
151;트린다미어;tryndamere;TOP;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/tryndamere.png;3;OPERATION
152;트위스티드페이트;twistedfate;MIDDLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/twistedfate.png;5;OPERATION
153;트위치;twitch;ADC;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/twitch.png;5;FIGHT
154;티모;teemo;TOP;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/teemo.png;3;OPERATION
155;파이크;pyke;SUPPORT;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/pyke.png;5;OPERATION
156;판테온;pantheon;SUPPORT;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/pantheon.png;2;OPERATION
157;피들스틱;fiddlesticks;JUNGLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/fiddlesticks.png;5;FIGHT
158;피오라;fiora;TOP;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/fiora.png;2;OPERATION
159;피즈;fizz;MIDDLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/fizz.png;5;FIGHT
160;하이머딩거;heimerdinger;TOP;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/heimerdinger.png;3;LANE
161;헤카림;hecarim;JUNGLE;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/champion/hecarim.png;5;GANKING
